image_path,label,xmin,ymin,xmax,ymax,xc,yc,w,h
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.2818380743982494,0.4793939393939394,0.37111597374179434,0.5836363636363636,0.3264770240700219,0.5315151515151515,0.08927789934354491,0.10424242424242425
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.32866520787746173,0.33575757575757575,0.4026258205689278,0.4090909090909091,0.3656455142231948,0.37242424242424244,0.07396061269146609,0.07333333333333336
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.20831509846827134,0.1709090909090909,0.26564551422319477,0.2733333333333333,0.23698030634573305,0.2221212121212121,0.057330415754923425,0.10242424242424242
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.3571115973741794,0.2921212121212121,0.4446389496717724,0.356969696969697,0.4008752735229759,0.3245454545454546,0.08752735229759301,0.06484848484848488
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.7842450765864333,0.5412121212121213,0.8555798687089715,0.6442424242424243,0.8199124726477024,0.5927272727272728,0.07133479212253824,0.10303030303030303
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.8004376367614879,0.6975757575757576,0.8853391684901531,0.786060606060606,0.8428884026258205,0.7418181818181818,0.08490153172866521,0.08848484848484839
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.7212253829321663,0.8018181818181818,0.8170678336980306,0.9454545454545454,0.7691466083150984,0.8736363636363635,0.09584245076586428,0.14363636363636367
.\data\leaf_data_v3\merge12\sample_a_1.jpg,advanced,0.5737417943107221,0.7103030303030303,0.6336980306345733,0.7909090909090909,0.6037199124726478,0.7506060606060606,0.059956236323851164,0.08060606060606057
.\data\leaf_data_v3\merge12\sample_a_1.jpg,moderate,0.6205689277899343,0.6145454545454545,0.6582056892778994,0.6933333333333334,0.6393873085339168,0.6539393939393939,0.03763676148796502,0.07878787878787885
.\data\leaf_data_v3\merge12\sample_a_10.jpg,moderate,0.33636363636363636,0.03815261044176707,0.5,0.7088353413654619,0.4181818181818182,0.3734939759036145,0.16363636363636364,0.6706827309236948
.\data\leaf_data_v3\merge12\sample_a_10.jpg,moderate,0.48522727272727273,0.15261044176706828,0.625,0.7128514056224899,0.5551136363636364,0.4327309236947791,0.13977272727272727,0.5602409638554217
.\data\leaf_data_v3\merge12\sample_a_10.jpg,advanced,0.19204545454545455,0.26506024096385544,0.3397727272727273,0.6465863453815262,0.26590909090909093,0.45582329317269077,0.14772727272727273,0.3815261044176707
.\data\leaf_data_v3\merge12\sample_a_100.jpg,advanced,0.3968253968253968,0.3820536540240518,0.49206349206349204,0.5198889916743756,0.4444444444444444,0.4509713228492137,0.09523809523809523,0.13783533765032385
.\data\leaf_data_v3\merge12\sample_a_100.jpg,advanced,0.24089635854341737,0.4838112858464385,0.3426704014939309,0.5781683626271971,0.29178338001867415,0.5309898242368178,0.10177404295051354,0.09435707678075855
.\data\leaf_data_v3\merge12\sample_a_100.jpg,advanced,0.31092436974789917,0.635522664199815,0.39589169000933705,0.7363552266419982,0.3534080298786181,0.6859389454209066,0.08496732026143788,0.1008325624421832
.\data\leaf_data_v3\merge12\sample_a_100.jpg,moderate,0.3716153127917834,0.303422756706753,0.49019607843137253,0.40148011100832565,0.430905695611578,0.3524514338575393,0.11858076563958914,0.09805735430157264
.\data\leaf_data_v3\merge12\sample_a_100.jpg,advanced,0.6414565826330533,0.333950046253469,0.7329598506069094,0.4181313598519889,0.6872082166199813,0.37604070305272896,0.0915032679738561,0.08418131359851988
.\data\leaf_data_v3\merge12\sample_a_100.jpg,moderate,0.12044817927170869,0.8982423681776133,0.2689075630252101,1.0,0.19467787114845939,0.9491211840888066,0.14845938375350137,0.10175763182238673
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.515625,0.7584269662921348,0.5886194029850746,0.9073033707865169,0.5521222014925373,0.8328651685393258,0.07299440298507465,0.1488764044943821
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.7115205223880597,0.5435393258426966,0.7842817164179104,0.6987359550561798,0.7479011194029851,0.6211376404494382,0.0727611940298507,0.1551966292134832
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.5942164179104478,0.5316011235955056,0.6732742537313433,0.6997893258426966,0.6337453358208955,0.6156952247191011,0.07905783582089554,0.168188202247191
.\data\leaf_data_v3\merge12\sample_a_101.jpg,advanced,0.5687966417910447,0.2615870786516854,0.6627798507462687,0.39115168539325845,0.6157882462686567,0.3263693820224719,0.09398320895522394,0.12956460674157305
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.4083488805970149,0.24964887640449437,0.47341417910447764,0.4199438202247191,0.44088152985074625,0.33479634831460675,0.06506529850746273,0.17029494382022473
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.8145988805970149,0.16889044943820225,0.8901585820895522,0.3476123595505618,0.8523787313432836,0.258251404494382,0.07555970149253732,0.17872191011235955
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.5956156716417911,0.7752808988764045,0.7453358208955224,0.9231039325842697,0.6704757462686568,0.8491924157303371,0.14972014925373134,0.1478230337078652
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.8069029850746269,0.8774578651685393,0.9263059701492538,0.9785814606741573,0.8666044776119404,0.9280196629213483,0.11940298507462688,0.101123595505618
.\data\leaf_data_v3\merge12\sample_a_101.jpg,moderate,0.7978078358208955,0.0017556179775280898,0.8880597014925373,0.1506320224719101,0.8429337686567164,0.0761938202247191,0.09025186567164178,0.148876404494382
.\data\leaf_data_v3\merge12\sample_a_102.jpg,moderate,0.6139896373056994,0.3911917098445596,0.729706390328152,0.6411917098445595,0.6718480138169257,0.5161917098445595,0.11571675302245255,0.24999999999999994
.\data\leaf_data_v3\merge12\sample_a_102.jpg,advanced,0.7478411053540587,0.38212435233160624,0.8341968911917098,0.6036269430051814,0.7910189982728842,0.4928756476683938,0.08635578583765113,0.22150259067357514
.\data\leaf_data_v3\merge12\sample_a_102.jpg,moderate,0.8333333333333334,0.3860103626943005,0.998272884283247,0.5518134715025906,0.9158031088082902,0.4689119170984456,0.16493955094991364,0.16580310880829013
.\data\leaf_data_v3\merge12\sample_a_102.jpg,initial,0.459412780656304,0.49870466321243523,0.5785837651122625,0.7046632124352331,0.5189982728842832,0.6016839378238341,0.11917098445595853,0.20595854922279788
.\data\leaf_data_v3\merge12\sample_a_102.jpg,moderate,0.8626943005181347,0.7992227979274611,0.9818652849740933,0.9430051813471503,0.9222797927461139,0.8711139896373057,0.11917098445595864,0.14378238341968919
.\data\leaf_data_v3\merge12\sample_a_102.jpg,advanced,0.48704663212435234,0.09974093264248704,0.5492227979274611,0.25259067357512954,0.5181347150259067,0.1761658031088083,0.06217616580310875,0.1528497409326425
.\data\leaf_data_v3\merge12\sample_a_102.jpg,advanced,0.23056994818652848,0.09585492227979274,0.32556131260794474,0.28367875647668395,0.27806563039723664,0.18976683937823835,0.09499136442141626,0.1878238341968912
.\data\leaf_data_v3\merge12\sample_a_102.jpg,advanced,0.022452504317789293,0.04404145077720207,0.07944732297063903,0.20595854922279794,0.05094991364421416,0.125,0.056994818652849735,0.16191709844559588
.\data\leaf_data_v3\merge12\sample_a_102.jpg,moderate,0.0034542314335060447,0.7655440414507773,0.18048359240069084,0.8743523316062176,0.09196891191709844,0.8199481865284974,0.1770293609671848,0.10880829015544036
.\data\leaf_data_v3\merge12\sample_a_102.jpg,moderate,0.29620034542314333,0.4339378238341969,0.3903281519861831,0.6152849740932642,0.3432642487046632,0.5246113989637305,0.09412780656303976,0.18134715025906734
