filename,label,xmin,ymin,xmax,ymax
0,infected,0.5792910447761194,0.0028089887640449437,0.8500466417910447,0.4666432584269663
0,infected,0.20825559701492538,0.7180477528089888,0.33302238805970147,1.0
0,infected,0.16301305970149255,0.046348314606741575,0.26842350746268656,0.3146067415730337
0,infected,0.12779850746268656,0.5839185393258427,0.23087686567164178,0.7956460674157303
0,infected,0.3341884328358209,0.5488061797752809,0.4605876865671642,0.6604634831460674
0,infected,0.45848880597014924,0.46875,0.5214552238805971,0.6390449438202247
0,infected,0.29524253731343286,0.15273876404494383,0.40181902985074625,0.2945926966292135
0,infected,0.48880597014925375,0.20400280898876405,0.6140391791044776,0.3219803370786517
0,infected,0.8952891791044776,0.14536516853932585,0.9885727611940298,0.6148174157303371
0,infected,0.0002332089552238806,0.8054775280898876,0.09958022388059702,0.9360955056179775
0,infected,0.07462686567164178,0.20400280898876405,0.13619402985074627,0.40730337078651685
0,infected,0.4181436567164179,0.2050561797752809,0.480410447761194,0.35603932584269665
0,infected,0.19986007462686567,0.39536516853932585,0.26049440298507465,0.547752808988764
0,infected,0.33838619402985076,0.28581460674157305,0.41324626865671643,0.40625
0,infected,0.36030783582089554,0.4125702247191011,0.4216417910447761,0.488061797752809
0,infected,0.4456623134328358,0.10498595505617977,0.5065298507462687,0.21980337078651685
0,infected,0.523554104477612,0.4476825842696629,0.5883861940298507,0.5509129213483146
0,infected,0.5715951492537313,0.4178370786516854,0.8180970149253731,0.6467696629213483
0,infected,0.2520988805970149,0.5933988764044944,0.30223880597014924,0.7264747191011236
0,infected,0.04291044776119403,0.09339887640449439,0.12126865671641791,0.19557584269662923
1,infected,0.7369791666666666,0.10555555555555556,0.9447916666666667,0.4009259259259259
1,infected,0.8671875,0.04537037037037037,0.9239583333333333,0.2064814814814815
1,infected,0.871875,0.001851851851851852,0.921875,0.05277777777777778
1,infected,0.8354166666666667,0.009259259259259259,0.8708333333333333,0.04722222222222222
1,infected,0.8119791666666667,0.6101851851851852,0.8833333333333333,0.7694444444444445
1,infected,0.3223958333333333,0.021296296296296296,0.4765625,0.13796296296296295
1,infected,0.26145833333333335,0.17592592592592593,0.3203125,0.23981481481481481
1,infected,0.015104166666666667,0.2759259259259259,0.1359375,0.5296296296296297
1,infected,0.403125,0.7046296296296296,0.5328125,0.8527777777777777
1,infected,0.521875,0.8388888888888889,0.628125,0.9472222222222222
1,infected,0.5526041666666667,0.7620370370370371,0.6359375,0.8861111111111111
1,infected,0.7963541666666667,0.75,0.9015625,0.8296296296296296
1,infected,0.6515625,0.45555555555555555,0.7208333333333333,0.5574074074074075
2,infected,0.3932291666666667,0.2074074074074074,0.88125,0.6703703703703704
2,infected,0.08072916666666667,0.5166666666666667,0.4786458333333333,0.9796296296296296
2,infected,0.6197916666666666,0.5564814814814815,0.8364583333333333,0.7833333333333333
2,infected,0.7901041666666667,0.18981481481481483,0.921875,0.38796296296296295
